"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"DDB_G0289813",156.819394077975,0.35428129453335,0.145005666891774,1.19801332988331,0.230911827641065,0.452954987066887,"not sig."
"DDB_G0289815",255.043620773992,0.278668117774852,0.134361210174244,0.669491724963483,0.503181857614585,0.71144513665785,"not sig."
"DDB_G0289817",20.7309841944934,0.179995143394911,0.168657869700056,0.432564907683984,0.665330888136072,0.81923970473788,"not sig."
"DDB_G0289819",45.9712158906454,0.206802321887291,0.165347703560041,1.10196588893656,0.270476501538369,0.499493539331615,"not sig."
"DDB_G0289823",28.9548474132753,0.571002227816594,0.165099890031906,2.52774000062196,0.0114799331434537,0.0620184577671982,"FDR 0.1"
"DDB_G0289827",387.631777197096,0.0370196730395938,0.0873071852432243,0.469888261861459,0.638434851046993,0.803108210179241,"not sig."
"DDB_G0289829",104.010541790686,0.345146059643109,0.123779067182826,2.45644063218403,0.0140320985232445,0.0712003463597517,"FDR 0.1"
"DDB_G0289831",11.1952334602612,-0.315314396314803,0.157971905636976,-2.00791420103252,0.0446524098452888,0.156616851950957,"not sig."
"DDB_G0289833",426.837730804778,0.109504832376828,0.123544202717126,0.998050449096554,0.318254896021442,0.545079757398232,"not sig."
"DDB_G0289835",39.7808050984561,-0.229164916886529,0.166006296317328,-1.81639673893707,0.069309535086684,0.209848000799369,"not sig."
"DDB_G0289839",11.0845229678469,0.0440750047940744,0.163243507630159,0.290546142428529,0.77139845583516,0.879800223814031,"not sig."
"DDB_G0289845",4.84936190531627,-0.123042144914283,0.134094588728812,-1.23432826164108,0.217080608886356,NA,NA
"DDB_G0289855",11.3510052261943,-0.165068300384756,0.161940038275531,-1.17060040596419,0.241759434080277,0.46416180087941,"not sig."
"DDB_G0289859",78.3817211705886,-0.119636328107136,0.148087006298658,-0.63256122659161,0.527020213925687,0.729174552257162,"not sig."
"DDB_G0289863",18.1995011836252,0.168091294366764,0.167934235330302,0.776267449804519,0.437591087942931,0.654802888571225,"not sig."
"DDB_G0289867",259.417335845657,-0.125800797472623,0.11148993031481,-0.984981645603698,0.324633086725206,0.551207515192196,"not sig."
"DDB_G0289875",799.532026450123,0.0703129066357169,0.120835714500539,0.307865155572585,0.758184940670368,0.87115518675671,"not sig."
