"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"DDB_G0270670",5405.81031557186,-0.569439824831295,0.11722134195789,-4.5405291415572,5.61132220075823e-06,4.41930663120941e-05,"FDR 0.05"
"DDB_G0270678",75.167866017027,0.0901341967810954,0.165178338226702,0.825816513679123,0.408908184996082,0.566057474419817,"not sig."
"DDB_G0270680",9.00127667405422,0.117302710676019,0.324174643322438,0.4198311207134,0.674608828670459,0.788359112926662,"not sig."
"DDB_G0270682",143.996099092073,-0.566441722997796,0.173333468888439,-2.96533586112893,0.00302352641161486,0.011112441227104,"FDR 0.05"
"DDB_G0270686",8525.17983003703,-0.530873575586492,0.0992431045834346,-5.10551628971892,3.29892566974161e-07,3.43233810491498e-06,"FDR 0.05"
"DDB_G0270690",36.5341806870687,0.544265986871018,0.247622927689249,1.41456226882841,0.157196878109861,0.280555285926576,"not sig."
"DDB_G0270692",450.973788826399,-0.0870528873010735,0.128359833239019,-0.904675449991642,0.365637350757298,0.521461634122201,"not sig."
"DDB_G0270694",417.08936254102,-0.0289109154173941,0.0975659926295538,-0.370659358951754,0.710891264218753,0.815383252258472,"not sig."
"DDB_G0270698",18.5242179449149,0.719677894350013,0.258038186190975,1.92947171606747,0.0536723280729865,0.121905180003239,"not sig."
"DDB_G0270700",4.98447176190924,0.359012338459295,0.340055679810066,1.07963763935995,0.280303573481173,0.432922928662026,"not sig."
"DDB_G0270706",11.0794721016592,0.0602286034895692,0.337942959032659,0.302062073490199,0.762604743743603,0.851681570346142,"not sig."
"DDB_G0270708",7.32348024355102,0.223719069130295,0.315464983772147,0.145374507292011,0.884415191063382,0.933799897043665,"not sig."
"DDB_G0270718",10.5255643820239,0.170295440096012,0.322207871019478,-0.143445477837852,0.885938368201007,0.934826838929474,"not sig."
"DDB_G0270720",27.9506233346719,-0.437672014913712,0.249133453370438,-1.76814454118103,0.0770367428149496,0.162132361551542,"not sig."
"DDB_G0270724",5.49601508875503,0.0620977446183352,0.339028738229912,0.231390566710308,0.817011393008548,0.89042705091689,"not sig."
"DDB_G0270726",15848.93323658,-2.73578507165181,0.196512691834663,-12.9266966645275,3.181989755865e-38,3.5546175035913e-36,"FDR 0.05"
"DDB_G0270730",4.66864304890487,0.942265879656384,0.339748262397404,1.93750376417795,0.0526837936954983,0.120238013030855,"not sig."
"DDB_G0270734",46.4941470898947,-0.185982877148202,0.206652305889747,-0.684379544248915,0.493735529578794,0.644497946821027,"not sig."
"DDB_G0270738",209.869039268857,-0.315290898001587,0.178504960291974,-1.88402007103108,0.0595622606122096,0.133039619204856,"not sig."
"DDB_G0270742",218.215152957348,0.207141570037724,0.153092804321563,1.41956838092235,0.155733376075529,0.278411531455305,"not sig."
"DDB_G0270744",394.700872035682,0.0804470015094084,0.13332642514495,0.784417146960253,0.432795380277137,0.587251522862856,"not sig."
"DDB_G0270746",117.88418003556,0.0045714268460735,0.176709297580101,0.0995243930091595,0.920721921224219,0.955129756339023,"not sig."
"DDB_G0270750",17.8426422500794,-1.48615285674366,0.299023019462641,-4.26694772235249,1.98165572746762e-05,0.000138734991355026,"FDR 0.05"
